Dato,Temperatur (°C) daglig snitt,Lufttrykk (hPa),Nedbør (mm),Relativ fuktighet (%),Skydekke (oktas)
2024-11-27,-1.6986111111111108,1017.0,0.0,73,6.7
2024-11-28,-4.002083333333333,1022.6,0.0,76,1.0
2024-11-29,1.2909722222222215,1017.7,1.6,92,8.0
2024-11-30,2.8125,1008.3,13.0,96,7.0
2024-12-01,9.991666666666667,999.2,0.4,98,8.0
2024-12-02,1.587499999999999,1005.3,3.5,93,8.0
2024-12-03,-4.129166666666666,1020.4,3.6,67,0.7
2024-12-04,-3.5340277777777773,1021.7,0.0,81,5.0
2024-12-05,1.3270833333333336,1007.0,0.0,83,8.0
2024-12-06,3.726388888888888,1001.9,0.3,95,8.0
2024-12-07,2.079861111111113,1008.6,0.0,93,8.0
2024-12-08,2.6611111111111114,1029.3,0.1,86,5.3
2024-12-09,-1.1055555555555558,1039.1,0.0,83,2.0
2024-12-10,1.7187500000000004,1031.8,4.6,93,7.0
2024-12-11,1.8284722222222225,1032.4,1.6,94,4.7
2024-12-12,0.5465277777777775,1030.1,0.7,94,6.0
2024-12-13,3.834027777777776,1014.1,3.5,95,7.7
2024-12-14,1.2562500000000003,998.4,6.9,77,3.0
2024-12-15,1.525,989.7,15.7,91,7.7
2024-12-16,1.885416666666667,988.4,10.2,65,2.3
2024-12-17,1.840972222222222,1004.6,10.7,64,3.7
2024-12-18,3.2861111111111114,984.9,1.2,98,8.0
2024-12-19,3.191666666666667,974.4,2.9,85,6.7
2024-12-20,-0.3812499999999997,994.6,11.8,58,4.3
2024-12-21,-3.049999999999999,986.8,0.0,99,8.0
2024-12-22,-1.4638888888888892,978.7,0.0,98,6.0
2024-12-23,0.1624999999999999,1004.0,2.2,77,4.3
2024-12-24,1.7493055555555557,1005.5,0.8,96,8.0
2024-12-25,5.977083333333333,1010.0,17.8,100,8.0
2024-12-26,4.813194444444441,1020.9,6.6,100,8.0
2024-12-27,2.272916666666668,1025.8,0.0,100,8.0
2024-12-28,2.151388888888889,1013.3,0.3,100,8.0
2024-12-29,1.051388888888889,996.0,3.6,96,5.7
2024-12-30,-2.159722222222222,1003.4,19.7,60,5.3
