Dato,Lufttrykk (hPa)
2024-11-05,1023.7
2024-11-06,1025.8
2024-11-07,1029.9
2024-11-08,1030.1
2024-11-09,1030.6
2024-11-10,1025.5
2024-11-11,1024.9
2024-11-12,1029.5
2024-11-13,1017.6
2024-11-14,1014.6
2024-11-15,999.2
2024-11-16,979.3
2024-11-17,984.1
2024-11-18,991.8
2024-11-19,996.6
2024-11-20,998.9
2024-11-21,996.9
2024-11-22,988.7
2024-11-23,998.8
2024-11-24,991.8
2024-11-25,981.8
2024-11-26,998.1
2024-11-27,1017.0
2024-11-28,1022.6
2024-11-29,1017.7
2024-11-30,1008.3
2024-12-01,999.2
2024-12-02,1005.3
2024-12-03,1020.4
2024-12-04,1021.7
2024-12-05,1007.0
2024-12-06,1001.9
2024-12-07,1008.6
2024-12-08,1029.3
2024-12-09,1039.1
2024-12-10,1031.8
2024-12-11,1032.4
2024-12-12,1030.1
2024-12-13,1014.1
2024-12-14,998.4
2024-12-15,989.7
2024-12-16,988.4
2024-12-17,1004.6
2024-12-18,984.9
2024-12-19,974.4
2024-12-20,994.6
2024-12-21,986.8
2024-12-22,978.7
2024-12-23,1004.0
2024-12-24,1005.5
2024-12-25,1010.0
2024-12-26,1020.9
2024-12-27,1025.8
2024-12-28,1013.3
2024-12-29,996.0
2024-12-30,1003.4
