Dato,Temperatur (°C),Temperatur (°C) daglig snitt,Lufttrykk (hPa),Nedbør (mm)
2024-07-01,10.1,10.39375,1003.0,8.0
2024-07-01,10.2,10.39375,1003.0,8.0
2024-07-01,10.5,10.39375,1003.0,8.0
2024-07-01,10.8,10.39375,1003.0,8.0
2024-07-01,10.8,10.39375,1003.0,8.0
2024-07-01,10.7,10.39375,1003.0,8.0
2024-07-01,10.9,10.39375,1003.0,8.0
2024-07-01,11.0,10.39375,1003.0,8.0
2024-07-01,11.1,10.39375,1003.0,8.0
2024-07-01,11.2,10.39375,1003.0,8.0
2024-07-01,11.3,10.39375,1003.0,8.0
2024-07-01,11.4,10.39375,1003.0,8.0
2024-07-01,11.4,10.39375,1003.0,8.0
2024-07-01,11.3,10.39375,1003.0,8.0
2024-07-01,11.4,10.39375,1003.0,8.0
2024-07-01,11.3,10.39375,1003.0,8.0
2024-07-01,11.1,10.39375,1003.0,8.0
2024-07-01,11.1,10.39375,1003.0,8.0
2024-07-01,11.3,10.39375,1003.0,8.0
2024-07-01,11.3,10.39375,1003.0,8.0
2024-07-01,11.2,10.39375,1003.0,8.0
2024-07-01,11.2,10.39375,1003.0,8.0
2024-07-01,11.3,10.39375,1003.0,8.0
2024-07-01,11.3,10.39375,1003.0,8.0
2024-07-01,11.2,10.39375,1003.0,8.0
2024-07-01,11.1,10.39375,1003.0,8.0
2024-07-01,10.9,10.39375,1003.0,8.0
2024-07-01,11.1,10.39375,1003.0,8.0
2024-07-01,10.9,10.39375,1003.0,8.0
2024-07-01,11.0,10.39375,1003.0,8.0
2024-07-01,10.9,10.39375,1003.0,8.0
2024-07-01,10.9,10.39375,1003.0,8.0
2024-07-01,10.8,10.39375,1003.0,8.0
2024-07-01,10.9,10.39375,1003.0,8.0
2024-07-01,10.4,10.39375,1003.0,8.0
2024-07-01,10.1,10.39375,1003.0,8.0
2024-07-01,10.1,10.39375,1003.0,8.0
2024-07-01,9.9,10.39375,1003.0,8.0
2024-07-01,9.8,10.39375,1003.0,8.0
2024-07-01,9.7,10.39375,1003.0,8.0
2024-07-01,9.6,10.39375,1003.0,8.0
2024-07-01,9.5,10.39375,1003.0,8.0
2024-07-01,9.5,10.39375,1003.0,8.0
2024-07-01,9.4,10.39375,1003.0,8.0
2024-07-01,9.3,10.39375,1003.0,8.0
2024-07-01,9.2,10.39375,1003.0,8.0
2024-07-01,9.2,10.39375,1003.0,8.0
2024-07-01,9.2,10.39375,1003.0,8.0
2024-07-01,9.1,10.39375,1003.0,8.0
2024-07-01,9.1,10.39375,1003.0,8.0
2024-07-01,9.1,10.39375,1003.0,8.0
2024-07-01,9.1,10.39375,1003.0,8.0
2024-07-01,9.1,10.39375,1003.0,8.0
2024-07-01,9.1,10.39375,1003.0,8.0
2024-07-01,9.1,10.39375,1003.0,8.0
2024-07-01,9.0,10.39375,1003.0,8.0
2024-07-01,9.0,10.39375,1003.0,8.0
2024-07-01,9.0,10.39375,1003.0,8.0
2024-07-01,8.9,10.39375,1003.0,8.0
2024-07-01,8.8,10.39375,1003.0,8.0
2024-07-01,8.9,10.39375,1003.0,8.0
2024-07-01,8.8,10.39375,1003.0,8.0
2024-07-01,8.8,10.39375,1003.0,8.0
2024-07-01,8.7,10.39375,1003.0,8.0
2024-07-01,8.6,10.39375,1003.0,8.0
2024-07-01,8.6,10.39375,1003.0,8.0
2024-07-01,8.5,10.39375,1003.0,8.0
2024-07-01,8.5,10.39375,1003.0,8.0
2024-07-01,8.4,10.39375,1003.0,8.0
2024-07-01,8.4,10.39375,1003.0,8.0
2024-07-01,8.4,10.39375,1003.0,8.0
2024-07-01,8.5,10.39375,1003.0,8.0
2024-07-01,8.5,10.39375,1003.0,8.0
2024-07-01,8.5,10.39375,1003.0,8.0
2024-07-01,8.5,10.39375,1003.0,8.0
2024-07-01,8.5,10.39375,1003.0,8.0
2024-07-01,8.5,10.39375,1003.0,8.0
2024-07-01,8.5,10.39375,1003.0,8.0
2024-07-01,8.5,10.39375,1003.0,8.0
2024-07-02,8.4,10.177777777777766,1002.9,3.6
2024-07-02,8.4,10.177777777777766,1002.9,3.6
2024-07-02,8.4,10.177777777777766,1002.9,3.6
2024-07-02,8.4,10.177777777777766,1002.9,3.6
2024-07-02,8.4,10.177777777777766,1002.9,3.6
2024-07-02,8.4,10.177777777777766,1002.9,3.6
2024-07-02,8.4,10.177777777777766,1002.9,3.6
2024-07-02,8.3,10.177777777777766,1002.9,3.6
2024-07-02,8.3,10.177777777777766,1002.9,3.6
2024-07-02,8.2,10.177777777777766,1002.9,3.6
2024-07-02,8.3,10.177777777777766,1002.9,3.6
2024-07-02,8.3,10.177777777777766,1002.9,3.6
2024-07-02,8.3,10.177777777777766,1002.9,3.6
2024-07-02,8.3,10.177777777777766,1002.9,3.6
2024-07-02,8.2,10.177777777777766,1002.9,3.6
2024-07-02,8.2,10.177777777777766,1002.9,3.6
2024-07-02,8.1,10.177777777777766,1002.9,3.6
2024-07-02,8.1,10.177777777777766,1002.9,3.6
2024-07-02,8.1,10.177777777777766,1002.9,3.6
2024-07-02,8.0,10.177777777777766,1002.9,3.6
2024-07-02,8.0,10.177777777777766,1002.9,3.6
2024-07-02,8.0,10.177777777777766,1002.9,3.6
2024-07-02,8.0,10.177777777777766,1002.9,3.6
2024-07-02,7.9,10.177777777777766,1002.9,3.6
2024-07-02,8.0,10.177777777777766,1002.9,3.6
2024-07-02,8.0,10.177777777777766,1002.9,3.6
2024-07-02,8.0,10.177777777777766,1002.9,3.6
2024-07-02,8.0,10.177777777777766,1002.9,3.6
2024-07-02,8.1,10.177777777777766,1002.9,3.6
2024-07-02,8.1,10.177777777777766,1002.9,3.6
2024-07-02,8.2,10.177777777777766,1002.9,3.6
2024-07-02,8.2,10.177777777777766,1002.9,3.6
2024-07-02,8.3,10.177777777777766,1002.9,3.6
2024-07-02,8.3,10.177777777777766,1002.9,3.6
2024-07-02,8.3,10.177777777777766,1002.9,3.6
2024-07-02,8.3,10.177777777777766,1002.9,3.6
2024-07-02,8.3,10.177777777777766,1002.9,3.6
2024-07-02,8.3,10.177777777777766,1002.9,3.6
2024-07-02,8.5,10.177777777777766,1002.9,3.6
2024-07-02,8.5,10.177777777777766,1002.9,3.6
2024-07-02,8.5,10.177777777777766,1002.9,3.6
2024-07-02,8.6,10.177777777777766,1002.9,3.6
2024-07-02,8.6,10.177777777777766,1002.9,3.6
2024-07-02,8.8,10.177777777777766,1002.9,3.6
2024-07-02,9.0,10.177777777777766,1002.9,3.6
2024-07-02,9.3,10.177777777777766,1002.9,3.6
2024-07-02,9.5,10.177777777777766,1002.9,3.6
2024-07-02,9.9,10.177777777777766,1002.9,3.6
2024-07-02,9.8,10.177777777777766,1002.9,3.6
2024-07-02,9.9,10.177777777777766,1002.9,3.6
2024-07-02,10.2,10.177777777777766,1002.9,3.6
2024-07-02,10.3,10.177777777777766,1002.9,3.6
2024-07-02,10.2,10.177777777777766,1002.9,3.6
2024-07-02,10.4,10.177777777777766,1002.9,3.6
2024-07-02,10.6,10.177777777777766,1002.9,3.6
2024-07-02,10.8,10.177777777777766,1002.9,3.6
2024-07-02,10.9,10.177777777777766,1002.9,3.6
2024-07-02,10.8,10.177777777777766,1002.9,3.6
2024-07-02,10.9,10.177777777777766,1002.9,3.6
2024-07-02,10.8,10.177777777777766,1002.9,3.6
2024-07-02,11.4,10.177777777777766,1002.9,3.6
2024-07-02,11.5,10.177777777777766,1002.9,3.6
2024-07-02,12.1,10.177777777777766,1002.9,3.6
2024-07-02,11.5,10.177777777777766,1002.9,3.6
2024-07-02,11.2,10.177777777777766,1002.9,3.6
2024-07-02,11.4,10.177777777777766,1002.9,3.6
2024-07-02,11.6,10.177777777777766,1002.9,3.6
2024-07-02,11.8,10.177777777777766,1002.9,3.6
2024-07-02,11.6,10.177777777777766,1002.9,3.6
2024-07-02,11.6,10.177777777777766,1002.9,3.6
2024-07-02,11.7,10.177777777777766,1002.9,3.6
2024-07-02,12.2,10.177777777777766,1002.9,3.6
2024-07-02,12.1,10.177777777777766,1002.9,3.6
2024-07-02,11.9,10.177777777777766,1002.9,3.6
2024-07-02,11.9,10.177777777777766,1002.9,3.6
2024-07-02,12.1,10.177777777777766,1002.9,3.6
2024-07-02,12.1,10.177777777777766,1002.9,3.6
2024-07-02,12.0,10.177777777777766,1002.9,3.6
2024-07-02,12.0,10.177777777777766,1002.9,3.6
2024-07-02,12.0,10.177777777777766,1002.9,3.6
2024-07-02,12.0,10.177777777777766,1002.9,3.6
2024-07-02,12.0,10.177777777777766,1002.9,3.6
2024-07-02,11.9,10.177777777777766,1002.9,3.6
2024-07-02,11.9,10.177777777777766,1002.9,3.6
2024-07-02,11.9,10.177777777777766,1002.9,3.6
2024-07-02,11.8,10.177777777777766,1002.9,3.6
2024-07-02,11.8,10.177777777777766,1002.9,3.6
2024-07-02,11.9,10.177777777777766,1002.9,3.6
2024-07-02,11.9,10.177777777777766,1002.9,3.6
2024-07-02,12.3,10.177777777777766,1002.9,3.6
2024-07-02,12.1,10.177777777777766,1002.9,3.6
2024-07-02,11.9,10.177777777777766,1002.9,3.6
2024-07-02,11.9,10.177777777777766,1002.9,3.6
2024-07-02,11.8,10.177777777777766,1002.9,3.6
2024-07-02,11.8,10.177777777777766,1002.9,3.6
2024-07-02,11.7,10.177777777777766,1002.9,3.6
2024-07-02,11.6,10.177777777777766,1002.9,3.6
2024-07-02,11.4,10.177777777777766,1002.9,3.6
2024-07-02,11.3,10.177777777777766,1002.9,3.6
2024-07-02,11.3,10.177777777777766,1002.9,3.6
2024-07-02,11.3,10.177777777777766,1002.9,3.6
2024-07-02,11.3,10.177777777777766,1002.9,3.6
2024-07-02,11.3,10.177777777777766,1002.9,3.6
2024-07-02,11.3,10.177777777777766,1002.9,3.6
2024-07-02,11.3,10.177777777777766,1002.9,3.6
2024-07-02,11.3,10.177777777777766,1002.9,3.6
2024-07-02,11.3,10.177777777777766,1002.9,3.6
2024-07-02,11.3,10.177777777777766,1002.9,3.6
2024-07-02,11.3,10.177777777777766,1002.9,3.6
2024-07-02,11.2,10.177777777777766,1002.9,3.6
2024-07-02,11.1,10.177777777777766,1002.9,3.6
2024-07-02,11.1,10.177777777777766,1002.9,3.6
2024-07-02,11.1,10.177777777777766,1002.9,3.6
2024-07-02,11.1,10.177777777777766,1002.9,3.6
2024-07-02,11.1,10.177777777777766,1002.9,3.6
2024-07-02,11.1,10.177777777777766,1002.9,3.6
2024-07-02,11.0,10.177777777777766,1002.9,3.6
2024-07-02,11.0,10.177777777777766,1002.9,3.6
2024-07-02,11.0,10.177777777777766,1002.9,3.6
2024-07-02,10.9,10.177777777777766,1002.9,3.6
2024-07-02,10.6,10.177777777777766,1002.9,3.6
2024-07-02,10.6,10.177777777777766,1002.9,3.6
2024-07-02,10.4,10.177777777777766,1002.9,3.6
2024-07-02,10.3,10.177777777777766,1002.9,3.6
2024-07-02,10.2,10.177777777777766,1002.9,3.6
2024-07-02,10.1,10.177777777777766,1002.9,3.6
2024-07-02,10.1,10.177777777777766,1002.9,3.6
2024-07-02,10.1,10.177777777777766,1002.9,3.6
2024-07-02,10.1,10.177777777777766,1002.9,3.6
2024-07-02,10.1,10.177777777777766,1002.9,3.6
2024-07-02,10.1,10.177777777777766,1002.9,3.6
2024-07-02,10.1,10.177777777777766,1002.9,3.6
2024-07-02,10.2,10.177777777777766,1002.9,3.6
2024-07-02,10.2,10.177777777777766,1002.9,3.6
2024-07-02,10.3,10.177777777777766,1002.9,3.6
2024-07-02,10.3,10.177777777777766,1002.9,3.6
2024-07-02,10.2,10.177777777777766,1002.9,3.6
2024-07-02,10.2,10.177777777777766,1002.9,3.6
2024-07-02,10.1,10.177777777777766,1002.9,3.6
2024-07-02,10.0,10.177777777777766,1002.9,3.6
2024-07-02,9.9,10.177777777777766,1002.9,3.6
2024-07-02,9.9,10.177777777777766,1002.9,3.6
2024-07-02,9.8,10.177777777777766,1002.9,3.6
2024-07-02,9.8,10.177777777777766,1002.9,3.6
2024-07-03,9.8,11.973611111111108,1000.5,2.0
2024-07-03,9.8,11.973611111111108,1000.5,2.0
2024-07-03,9.6,11.973611111111108,1000.5,2.0
2024-07-03,9.4,11.973611111111108,1000.5,2.0
2024-07-03,9.2,11.973611111111108,1000.5,2.0
2024-07-03,9.2,11.973611111111108,1000.5,2.0
2024-07-03,9.2,11.973611111111108,1000.5,2.0
2024-07-03,9.3,11.973611111111108,1000.5,2.0
2024-07-03,9.3,11.973611111111108,1000.5,2.0
2024-07-03,9.3,11.973611111111108,1000.5,2.0
2024-07-03,9.2,11.973611111111108,1000.5,2.0
2024-07-03,9.2,11.973611111111108,1000.5,2.0
2024-07-03,9.2,11.973611111111108,1000.5,2.0
2024-07-03,9.2,11.973611111111108,1000.5,2.0
2024-07-03,9.1,11.973611111111108,1000.5,2.0
2024-07-03,9.1,11.973611111111108,1000.5,2.0
2024-07-03,9.1,11.973611111111108,1000.5,2.0
2024-07-03,9.1,11.973611111111108,1000.5,2.0
2024-07-03,9.1,11.973611111111108,1000.5,2.0
2024-07-03,9.1,11.973611111111108,1000.5,2.0
2024-07-03,9.1,11.973611111111108,1000.5,2.0
2024-07-03,9.1,11.973611111111108,1000.5,2.0
2024-07-03,9.3,11.973611111111108,1000.5,2.0
2024-07-03,9.4,11.973611111111108,1000.5,2.0
2024-07-03,9.3,11.973611111111108,1000.5,2.0
2024-07-03,9.2,11.973611111111108,1000.5,2.0
2024-07-03,9.3,11.973611111111108,1000.5,2.0
2024-07-03,9.4,11.973611111111108,1000.5,2.0
2024-07-03,9.4,11.973611111111108,1000.5,2.0
2024-07-03,9.5,11.973611111111108,1000.5,2.0
2024-07-03,9.6,11.973611111111108,1000.5,2.0
2024-07-03,9.6,11.973611111111108,1000.5,2.0
2024-07-03,9.6,11.973611111111108,1000.5,2.0
2024-07-03,9.8,11.973611111111108,1000.5,2.0
2024-07-03,9.9,11.973611111111108,1000.5,2.0
2024-07-03,10.1,11.973611111111108,1000.5,2.0
2024-07-03,10.2,11.973611111111108,1000.5,2.0
2024-07-03,10.3,11.973611111111108,1000.5,2.0
2024-07-03,10.4,11.973611111111108,1000.5,2.0
2024-07-03,10.6,11.973611111111108,1000.5,2.0
2024-07-03,10.6,11.973611111111108,1000.5,2.0
2024-07-03,10.6,11.973611111111108,1000.5,2.0
2024-07-03,10.5,11.973611111111108,1000.5,2.0
2024-07-03,10.4,11.973611111111108,1000.5,2.0
2024-07-03,10.3,11.973611111111108,1000.5,2.0
2024-07-03,10.5,11.973611111111108,1000.5,2.0
2024-07-03,10.7,11.973611111111108,1000.5,2.0
2024-07-03,10.9,11.973611111111108,1000.5,2.0
2024-07-03,11.2,11.973611111111108,1000.5,2.0
2024-07-03,11.2,11.973611111111108,1000.5,2.0
2024-07-03,11.6,11.973611111111108,1000.5,2.0
2024-07-03,11.6,11.973611111111108,1000.5,2.0
2024-07-03,11.9,11.973611111111108,1000.5,2.0
2024-07-03,11.9,11.973611111111108,1000.5,2.0
2024-07-03,12.4,11.973611111111108,1000.5,2.0
2024-07-03,12.3,11.973611111111108,1000.5,2.0
2024-07-03,12.1,11.973611111111108,1000.5,2.0
2024-07-03,12.1,11.973611111111108,1000.5,2.0
2024-07-03,12.5,11.973611111111108,1000.5,2.0
2024-07-03,13.1,11.973611111111108,1000.5,2.0
2024-07-03,13.9,11.973611111111108,1000.5,2.0
2024-07-03,13.1,11.973611111111108,1000.5,2.0
2024-07-03,13.2,11.973611111111108,1000.5,2.0
2024-07-03,12.9,11.973611111111108,1000.5,2.0
2024-07-03,12.7,11.973611111111108,1000.5,2.0
2024-07-03,12.5,11.973611111111108,1000.5,2.0
2024-07-03,12.8,11.973611111111108,1000.5,2.0
2024-07-03,12.5,11.973611111111108,1000.5,2.0
2024-07-03,12.8,11.973611111111108,1000.5,2.0
2024-07-03,13.1,11.973611111111108,1000.5,2.0
2024-07-03,13.1,11.973611111111108,1000.5,2.0
2024-07-03,13.8,11.973611111111108,1000.5,2.0
2024-07-03,14.0,11.973611111111108,1000.5,2.0
2024-07-03,13.7,11.973611111111108,1000.5,2.0
2024-07-03,13.5,11.973611111111108,1000.5,2.0
2024-07-03,13.2,11.973611111111108,1000.5,2.0
2024-07-03,13.3,11.973611111111108,1000.5,2.0
2024-07-03,13.3,11.973611111111108,1000.5,2.0
2024-07-03,13.2,11.973611111111108,1000.5,2.0
2024-07-03,13.3,11.973611111111108,1000.5,2.0
2024-07-03,13.6,11.973611111111108,1000.5,2.0
2024-07-03,13.6,11.973611111111108,1000.5,2.0
2024-07-03,13.5,11.973611111111108,1000.5,2.0
2024-07-03,13.3,11.973611111111108,1000.5,2.0
2024-07-03,13.4,11.973611111111108,1000.5,2.0
2024-07-03,14.3,11.973611111111108,1000.5,2.0
2024-07-03,13.7,11.973611111111108,1000.5,2.0
2024-07-03,14.4,11.973611111111108,1000.5,2.0
2024-07-03,14.7,11.973611111111108,1000.5,2.0
2024-07-03,14.5,11.973611111111108,1000.5,2.0
2024-07-03,14.4,11.973611111111108,1000.5,2.0
2024-07-03,14.5,11.973611111111108,1000.5,2.0
2024-07-03,14.3,11.973611111111108,1000.5,2.0
2024-07-03,13.6,11.973611111111108,1000.5,2.0
2024-07-03,13.6,11.973611111111108,1000.5,2.0
2024-07-03,13.9,11.973611111111108,1000.5,2.0
2024-07-03,14.2,11.973611111111108,1000.5,2.0
2024-07-03,14.6,11.973611111111108,1000.5,2.0
2024-07-03,14.5,11.973611111111108,1000.5,2.0
2024-07-03,14.1,11.973611111111108,1000.5,2.0
2024-07-03,14.0,11.973611111111108,1000.5,2.0
2024-07-03,13.9,11.973611111111108,1000.5,2.0
2024-07-03,13.9,11.973611111111108,1000.5,2.0
2024-07-03,13.9,11.973611111111108,1000.5,2.0
2024-07-03,14.6,11.973611111111108,1000.5,2.0
2024-07-03,14.6,11.973611111111108,1000.5,2.0
2024-07-03,14.5,11.973611111111108,1000.5,2.0
2024-07-03,14.1,11.973611111111108,1000.5,2.0
2024-07-03,14.0,11.973611111111108,1000.5,2.0
2024-07-03,13.9,11.973611111111108,1000.5,2.0
2024-07-03,13.8,11.973611111111108,1000.5,2.0
2024-07-03,13.6,11.973611111111108,1000.5,2.0
2024-07-03,13.5,11.973611111111108,1000.5,2.0
2024-07-03,13.5,11.973611111111108,1000.5,2.0
2024-07-03,13.5,11.973611111111108,1000.5,2.0
2024-07-03,13.5,11.973611111111108,1000.5,2.0
2024-07-03,13.5,11.973611111111108,1000.5,2.0
2024-07-03,13.5,11.973611111111108,1000.5,2.0
2024-07-03,13.5,11.973611111111108,1000.5,2.0
2024-07-03,13.5,11.973611111111108,1000.5,2.0
2024-07-03,13.5,11.973611111111108,1000.5,2.0
2024-07-03,13.4,11.973611111111108,1000.5,2.0
2024-07-03,13.1,11.973611111111108,1000.5,2.0
2024-07-03,12.8,11.973611111111108,1000.5,2.0
2024-07-03,13.0,11.973611111111108,1000.5,2.0
2024-07-03,13.1,11.973611111111108,1000.5,2.0
2024-07-03,13.0,11.973611111111108,1000.5,2.0
2024-07-03,13.0,11.973611111111108,1000.5,2.0
2024-07-03,13.0,11.973611111111108,1000.5,2.0
2024-07-03,12.9,11.973611111111108,1000.5,2.0
2024-07-03,12.9,11.973611111111108,1000.5,2.0
2024-07-03,12.8,11.973611111111108,1000.5,2.0
2024-07-03,12.8,11.973611111111108,1000.5,2.0
2024-07-03,12.7,11.973611111111108,1000.5,2.0
2024-07-03,12.6,11.973611111111108,1000.5,2.0
2024-07-03,12.2,11.973611111111108,1000.5,2.0
2024-07-03,11.9,11.973611111111108,1000.5,2.0
2024-07-03,11.4,11.973611111111108,1000.5,2.0
2024-07-03,11.6,11.973611111111108,1000.5,2.0
2024-07-03,11.3,11.973611111111108,1000.5,2.0
2024-07-03,11.0,11.973611111111108,1000.5,2.0
2024-07-03,10.7,11.973611111111108,1000.5,2.0
2024-07-03,10.8,11.973611111111108,1000.5,2.0
2024-07-03,10.3,11.973611111111108,1000.5,2.0
2024-07-04,9.9,15.785416666666672,993.2,0.1
2024-07-04,9.8,15.785416666666672,993.2,0.1
2024-07-04,10.2,15.785416666666672,993.2,0.1
2024-07-04,10.6,15.785416666666672,993.2,0.1
2024-07-04,10.7,15.785416666666672,993.2,0.1
2024-07-04,11.0,15.785416666666672,993.2,0.1
2024-07-04,10.4,15.785416666666672,993.2,0.1
2024-07-04,10.9,15.785416666666672,993.2,0.1
2024-07-04,10.5,15.785416666666672,993.2,0.1
2024-07-04,10.2,15.785416666666672,993.2,0.1
2024-07-04,10.1,15.785416666666672,993.2,0.1
2024-07-04,10.3,15.785416666666672,993.2,0.1
2024-07-04,10.4,15.785416666666672,993.2,0.1
2024-07-04,10.4,15.785416666666672,993.2,0.1
2024-07-04,10.2,15.785416666666672,993.2,0.1
2024-07-04,10.1,15.785416666666672,993.2,0.1
2024-07-04,9.9,15.785416666666672,993.2,0.1
2024-07-04,10.0,15.785416666666672,993.2,0.1
2024-07-04,9.9,15.785416666666672,993.2,0.1
2024-07-04,10.0,15.785416666666672,993.2,0.1
2024-07-04,10.4,15.785416666666672,993.2,0.1
2024-07-04,10.5,15.785416666666672,993.2,0.1
2024-07-04,10.6,15.785416666666672,993.2,0.1
2024-07-04,10.8,15.785416666666672,993.2,0.1
2024-07-04,10.9,15.785416666666672,993.2,0.1
2024-07-04,11.1,15.785416666666672,993.2,0.1
2024-07-04,11.5,15.785416666666672,993.2,0.1
2024-07-04,11.8,15.785416666666672,993.2,0.1
2024-07-04,12.0,15.785416666666672,993.2,0.1
2024-07-04,12.1,15.785416666666672,993.2,0.1
2024-07-04,12.0,15.785416666666672,993.2,0.1
2024-07-04,12.0,15.785416666666672,993.2,0.1
2024-07-04,12.2,15.785416666666672,993.2,0.1
2024-07-04,12.4,15.785416666666672,993.2,0.1
2024-07-04,12.7,15.785416666666672,993.2,0.1
2024-07-04,12.8,15.785416666666672,993.2,0.1
2024-07-04,12.9,15.785416666666672,993.2,0.1
2024-07-04,13.2,15.785416666666672,993.2,0.1
2024-07-04,13.5,15.785416666666672,993.2,0.1
2024-07-04,13.4,15.785416666666672,993.2,0.1
2024-07-04,13.2,15.785416666666672,993.2,0.1
2024-07-04,13.3,15.785416666666672,993.2,0.1
2024-07-04,13.6,15.785416666666672,993.2,0.1
2024-07-04,14.1,15.785416666666672,993.2,0.1
2024-07-04,14.9,15.785416666666672,993.2,0.1
2024-07-04,14.8,15.785416666666672,993.2,0.1
2024-07-04,15.2,15.785416666666672,993.2,0.1
2024-07-04,15.0,15.785416666666672,993.2,0.1
2024-07-04,15.5,15.785416666666672,993.2,0.1
2024-07-04,15.4,15.785416666666672,993.2,0.1
2024-07-04,15.2,15.785416666666672,993.2,0.1
2024-07-04,15.0,15.785416666666672,993.2,0.1
2024-07-04,15.1,15.785416666666672,993.2,0.1
2024-07-04,15.6,15.785416666666672,993.2,0.1
2024-07-04,16.3,15.785416666666672,993.2,0.1
2024-07-04,17.0,15.785416666666672,993.2,0.1
2024-07-04,17.1,15.785416666666672,993.2,0.1
2024-07-04,16.9,15.785416666666672,993.2,0.1
2024-07-04,17.2,15.785416666666672,993.2,0.1
2024-07-04,17.5,15.785416666666672,993.2,0.1
2024-07-04,17.4,15.785416666666672,993.2,0.1
2024-07-04,17.2,15.785416666666672,993.2,0.1
2024-07-04,17.7,15.785416666666672,993.2,0.1
2024-07-04,18.2,15.785416666666672,993.2,0.1
2024-07-04,18.7,15.785416666666672,993.2,0.1
2024-07-04,18.5,15.785416666666672,993.2,0.1
2024-07-04,18.6,15.785416666666672,993.2,0.1
2024-07-04,18.5,15.785416666666672,993.2,0.1
2024-07-04,18.5,15.785416666666672,993.2,0.1
2024-07-04,18.5,15.785416666666672,993.2,0.1
2024-07-04,18.6,15.785416666666672,993.2,0.1
2024-07-04,19.2,15.785416666666672,993.2,0.1
2024-07-04,18.9,15.785416666666672,993.2,0.1
2024-07-04,19.4,15.785416666666672,993.2,0.1
2024-07-04,19.7,15.785416666666672,993.2,0.1
2024-07-04,19.6,15.785416666666672,993.2,0.1
2024-07-04,19.6,15.785416666666672,993.2,0.1
2024-07-04,19.5,15.785416666666672,993.2,0.1
2024-07-04,19.0,15.785416666666672,993.2,0.1
2024-07-04,18.8,15.785416666666672,993.2,0.1
2024-07-04,18.9,15.785416666666672,993.2,0.1
2024-07-04,19.4,15.785416666666672,993.2,0.1
